Rank,Name,All sectors,sd,nodata,0,5,1,15,2,25,3,35,4,45,hist,Agricultural,Domestic,Industrial
128,Ghana,1.08,0.35,0.00,110186992.00,68464616.00,1020139840.00,11507592.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.15,1.07,0.91
129,Albania,1.07,0.25,0.00,0.00,818993920.00,1188807808.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.09,1.06,1.05
130,Gabon,1.07,0.47,0.00,1929172.00,74652904.00,36996784.00,20344136.00,0.00,4482049.00,1037998.00,0.00,0.00,0.00,,1.03,1.01,1.47
131,Australia,1.07,0.39,35.00,3774045696.00,15896296448.00,29806364672.00,2609956864.00,560377472.00,280962208.00,91719600.00,28069422.00,3656378.00,649340.00,,1.09,0.83,1.11
132,Uruguay,1.06,0.16,0.00,0.00,571153344.00,1694062464.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.10,0.95,0.97
133,Guinea,1.05,0.34,0.00,0.00,704607872.00,764757504.00,198181.00,21969012.00,30142004.00,0.00,0.00,0.00,0.00,,0.99,1.08,1.53
134,Thailand,1.04,0.20,0.00,2073439360.00,11001206784.00,48017162240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.04,1.01,1.00
135,Indonesia,1.00,0.56,0.00,33254785024.00,35731644416.00,76798574592.00,20190691328.00,143329952.00,250310448.00,0.00,0.00,0.00,0.00,,1.00,0.99,1.05
136,El Salvador,1.00,0.16,0.00,25626.00,447859648.00,796747456.00,27809984.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.98,1.02,1.03
137,Brunei,1.00,0.15,0.00,0.00,114953136.00,17732824.00,5853268.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.02,0.99,1.23
138,Papua New Guinea,0.97,0.52,0.00,78622120.00,207690128.00,227336384.00,53010624.00,0.00,0.00,0.00,0.00,0.00,0.00,,-,1.02,0.91
139,Myanmar,0.92,0.14,0.00,300357056.00,36939382784.00,6808555008.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.92,0.90,0.99
140,Madagascar,0.91,0.40,0.00,3075124224.00,7163949568.00,10973813760.00,205315008.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.92,0.90,0.82
141,Bhutan,0.91,0.07,0.00,0.00,455833632.00,24391430.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.91,0.92,0.90
142,Japan,0.90,0.46,0.00,16091286528.00,21126430720.00,33250285568.00,5378772480.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.87,0.99,0.84
143,Laos,0.88,0.08,0.00,0.00,2949388032.00,486562592.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.88,0.89,0.89
144,Nicaragua,0.83,0.48,0.00,507674784.00,60040384.00,1066242176.00,3047737.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.79,0.93,0.79
145,Panama,0.83,0.36,0.00,264642720.00,274508832.00,529816576.00,3319966.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.93,0.70,0.67
146,Belize,0.82,0.14,0.00,8376701.00,413682304.00,237922.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.86,0.87,0.81
147,Dominican Republic,0.79,0.15,0.00,93847240.00,6007443456.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.82,0.74,0.70
148,South Korea,0.79,0.50,0.00,5933986816.00,6421051904.00,7693591552.00,2468776960.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.76,0.99,0.54
149,Guyana,0.79,0.60,0.00,392008416.00,275652736.00,597957824.00,86746640.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.77,0.88,1.01
150,Bangladesh,0.78,0.14,0.00,979703552.00,34509770752.00,128070856.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.78,0.76,0.75
151,Malaysia,0.77,0.46,0.00,4579151872.00,5150299136.00,6954866176.00,243111648.00,17047760.00,0.00,0.00,0.00,0.00,0.00,,0.84,0.76,0.71
152,Sierra Leone,0.77,0.31,0.00,106853528.00,593058176.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.85,0.72,0.54
153,Guatemala,0.72,0.27,0.00,810567424.00,2958693376.00,178210512.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.68,0.83,0.73
154,New Zealand,0.71,0.42,0.00,1240947328.00,1306420992.00,1172416640.00,11261071.00,5964493.00,0.00,0.00,0.00,0.00,0.00,,0.82,0.51,0.61
155,Trinidad and Tobago,0.70,0.17,0.00,16658229.00,297820096.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.73,0.72,0.65
156,San Marino,0.68,0.00,0.00,0.00,901388352.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.68,0.68,0.68
157,Vietnam,0.67,0.29,0.00,32525363200.00,34698563584.00,3745602816.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.66,0.77,0.70
158,Liberia,0.67,0.14,0.00,22755712.00,316977440.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.71,0.63,0.70
159,Sri Lanka,0.67,0.31,0.00,2678682112.00,8989657088.00,811221376.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.68,0.65,0.56
160,Cambodia,0.66,0.21,0.00,1250883328.00,1792607488.00,7375590.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.66,0.69,0.62
161,Costa Rica,0.65,0.50,0.00,1781979136.00,1600443264.00,1154919680.00,277575328.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.65,0.57,0.77
162,East Timor,0.64,0.43,0.00,287540896.00,627731136.00,150800208.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.65,0.53,0.80
